iter	MAE	RMSE
480	0.0823516323	0.1251370507
481	0.08180157655	0.1244762191
482	0.08118675599	0.1236362502
483	0.0807556124	0.1227527747
484	0.08040003044	0.12237282
485	0.07993953994	0.1216849702
486	0.07961291358	0.1212450467
487	0.07917882916	0.1207263664
488	0.07864220898	0.1200952457
489	0.07817117563	0.119470643
490	0.07776443201	0.1189220712
491	0.07724636948	0.1180418243
492	0.07712407914	0.1176251567
493	0.07665854138	0.1169510845
494	0.07640598845	0.1164130205
495	0.07590234999	0.1156572547
496	0.07565905972	0.1153835415
497	0.0752407936	0.1145803575
498	0.07486308425	0.1141982045
499	0.07425585663	0.1134871241
500	0.07403100828	0.1131664631
501	0.07353337246	0.11245797
502	0.07307673165	0.1117449569
503	0.07260785447	0.111285884
504	0.07221131567	0.1106269123
505	0.0720447297	0.1103810838
506	0.07173877468	0.1098306014
507	0.0713554375	0.1092992033
508	0.07084148463	0.1085688508
509	0.07062473945	0.1082218719
510	0.07027627931	0.107660908
511	0.06989510991	0.1070524086
512	0.06956115624	0.1063436485
513	0.06936878819	0.1057344134
514	0.06906769824	0.105262806
515	0.06866390511	0.1045461048
516	0.06807210433	0.1037863885
517	0.06757376366	0.1030649819
518	0.06726388656	0.1025383387
519	0.06671349552	0.1018532904
520	0.06630721645	0.1010980929
521	0.06603783394	0.1007015139
522	0.0655568145	0.1001619846
523	0.0653559489	0.09981790763
524	0.06506077216	0.09948837005
525	0.06458163226	0.09889483265
526	0.06413285171	0.09824806748
527	0.06385207878	0.09783403633
528	0.06351999587	0.0973639281
529	0.06292969294	0.09677459435
530	0.06262698878	0.09646373868
531	0.06221479306	0.09562891173
532	0.06199608721	0.09498567618
533	0.0615469407	0.09404238697
534	0.06126205832	0.09361268813
535	0.06083935207	0.09315399228
536	0.06032383492	0.09247855531
537	0.05991737694	0.09179602761
538	0.05953799302	0.09135609877
539	0.05913282769	0.09068402679
540	0.05879399766	0.09017479832
541	0.05838974972	0.08959333897
542	0.05801958126	0.08911777934
543	0.05764574088	0.08855466154
544	0.05737726298	0.08805042608
545	0.05697886783	0.0874284692
546	0.05679049287	0.08699267108
547	0.05661638775	0.08665375031
548	0.05635743869	0.08636152002
549	0.05569997841	0.08544930517
550	0.05534726618	0.08502127958
551	0.05510527679	0.08453443596
552	0.05488575921	0.08428354591
553	0.05449527183	0.08360194962
554	0.05406782996	0.08291171446
555	0.05389318577	0.08261236136
556	0.05356311637	0.08222225743
557	0.05336461327	0.08179711679
558	0.05318271256	0.08142036248
559	0.05294369394	0.08102081781
560	0.05263808687	0.08065501223
561	0.05227423693	0.08005381655
562	0.05190318496	0.07960370543
563	0.05163540671	0.07923425664
564	0.05140460794	0.0788266038
565	0.05108737804	0.07828491945
566	0.05066409924	0.0776700638
567	0.05046621068	0.07732091946
568	0.0499518781	0.07674226258
569	0.04952300353	0.07610117305
570	0.04939662706	0.07588528377
571	0.04920722738	0.07554851362
572	0.04905499315	0.07522430171
573	0.04887690823	0.07501225079
574	0.04855931389	0.07435632698
575	0.04808699155	0.07371678524
576	0.04789178869	0.07338567238
577	0.04769377877	0.07315239721
578	0.04741990322	0.07275934344
